,target
1548,121383
1549,93958
1550,145211
1551,121954
1552,152022
1553,149516
1554,119467
1555,95299
1556,93961
1557,138132
1558,122778
1559,121609
1560,152164
1561,142833
1562,93442
1563,146664
1564,121383
1565,142833
1566,101179
1567,99795
1568,99116
1569,141694
1570,79251
1571,126136
1572,92119
1573,140470
1574,131993
1575,100197
1576,70528
1577,70528
1578,108536
1579,107244
1580,105492
1581,105492
1582,92481
1583,106947
1584,104816
1585,108728
1586,106710
1587,76161
1588,89702
1589,89483
1590,86055
1591,85904
1592,75303
1593,85575
1594,75303
1595,71385
1596,72536
1597,71926
1598,83370
1599,71838
1600,98876
1601,98876
1602,72293
1603,72487
1604,83635
1605,83587
1606,69478
1607,88746
1608,71385
1609,66023
1610,71777
1611,71936
1612,71936
1613,71936
1614,72493
1615,83687
1616,72257
1617,72653
1618,71814
1619,67620
1620,71838
1621,108691
1622,101385
1623,93317
1624,66809
1625,62462
1626,14269
1627,13935
1628,45140
1629,45140
1630,61915
1631,61844
1632,88125
1633,88125
1634,87382
1635,75022
1636,112098
1637,88125
1638,87261
1639,85979
1640,85260
1641,87303
1642,46689
1643,46461
1644,46689
1645,74318
1646,179080
1647,183870
1648,176280
1649,177164
1650,230747
1651,307142
1652,325141
1653,120974
1654,207594
1655,113058
1656,113058
1657,102269
1658,102269
1659,112622
1660,135139
1661,133741
1662,135139
1663,131066
1664,135685
1665,129480
1666,121132
1667,111661
1668,116489
1669,240362
1670,128330
1671,128941
1672,102011
1673,130223
1674,133132
1675,72480
1676,70432
1677,62672
1678,70432
1679,74015
1680,62747
1681,92966
1682,56281
1683,69815
1684,84208
1685,66720
1686,54230
1687,33850
1688,26170
1689,34855
1690,28738
1691,27814
1692,33832
1693,71905
1694,47201
1695,41380
1696,44778
1697,47538
1698,47197
1699,41376
1700,42784
1701,36981
1702,42845
1703,51219
1704,43018
1705,39474
1706,37899
1707,58914
1708,76454
1709,64629
1710,52559
1711,50676
1712,75143
1713,90544
1714,57324
1715,41293
1716,55874
1717,49616
1718,42526
1719,53486
1720,53486
1721,74905
1722,63236
1723,74536
1724,70896
1725,68088
1726,58333
1727,71194
1728,57688
1729,58642
1730,70787
1731,71358
1732,100236
1733,92918
1734,99022
1735,99022
1736,98187
1737,98180
1738,97981
1739,70802
1740,74462
1741,71875
1742,71879
1743,69283
1744,86781
1745,68657
1746,69400
1747,103373
1748,69351
1749,69348
1750,69400
1751,69193
1752,69365
1753,69441
1754,78405
1755,71863
1756,76308
1757,74473
1758,75489
1759,71528
1760,89967
1761,67925
1762,66678
1763,65524
1764,71539
1765,55395
1766,82748
1767,73947
1768,79377
1769,99726
1770,116492
1771,82658
1772,75131
1773,77541
1774,98503
1775,76530
1776,48206
1777,89110
1778,74316
1779,80893
1780,13951
1781,26638
1782,56224
1783,10081
1784,11887
1785,33189
1786,14360
1787,37413
1788,43446
1789,25391
1790,27033
1791,26015
1792,33415
1793,64812
1794,65648
1795,71149
1796,24677
1797,20020
1798,21526
1799,31866
1800,72658
1801,25182
1802,54287
1803,35508
1804,26424
1805,19527
1806,52806
1807,48810
1808,48059
1809,45047
1810,48530
1811,3973
1812,3595
1813,4020
1814,5224
1815,5543
1816,4685
1817,4917
1818,47404
1819,30118
1820,30000
1821,86888
1822,119655
1823,119045
1824,126215
1825,91203
1826,126051
1827,92199
1828,91098
1829,91098
1830,113237
1831,47629
1832,34269
1833,39297
1834,42233
1835,36851
1836,42657
1837,47420
1838,63400
1839,63165
1840,55590
1841,31445
1842,12697
1843,46959
1844,30581
1845,8669
1846,25408
1847,47892
1848,45815
1849,45357
1850,8468
1851,87244
1852,69923
1853,81353
1854,57449
1855,85719
1856,91910
1857,19280
1858,104982
1859,90134
1860,91485
1861,105826
1862,102229
1863,104764
1864,105406
1865,107484
1866,91388
1867,91049
1868,106503
1869,105084
1870,106503
1871,107501
1872,91416
1873,62029
1874,79384
1875,68357
1876,70771
1877,84294
1878,66853
1879,95342
1880,79020
1881,81860
1882,71043
1883,70227
1884,83342
1885,70625
1886,96098
1887,93225
1888,67984
1889,88729
1890,91389
1891,70771
1892,90470
1893,83899
1894,80277
1895,67613
1896,83288
1897,84208
1898,94047
1899,84028
1900,94901
1901,77155
1902,69748
1903,83537
1904,70812
1905,77155
1906,98134
1907,70653
1908,71708
1909,67984
1910,96194
1911,96194
1912,71398
1913,62386
1914,69740
1915,87283
1916,95228
1917,66815
1918,66684
1919,98926
1920,71670
1921,65907
1922,28214
1923,73571
1924,94329
1925,73571
1926,74013
1927,87125
1928,75066
1929,68924
1930,94132
1931,73306
1932,97213
1933,85683
1934,77111
1935,70982
1936,78650
1937,78103
1938,50168
1939,60168
1940,57182
1941,65729
1942,79615
1943,96141
1944,80218
1945,65918
1946,80332
1947,65557
1948,65834
1949,80157
1950,89494
1951,65769
1952,95339
1953,65769
1954,80503
1955,92150
1956,65697
1957,75320
1958,78079
1959,79398
1960,66451
1961,81632
1962,63910
1963,81948
1964,89622
1965,67215
1966,67101
1967,78235
1968,66373
1969,65247
1970,80936
1971,67075
1972,65247
1973,67043
1974,67155
1975,66287
1976,67043
1977,81207
1978,53186
1979,16173
1980,76309
1981,90452
1982,75603
1983,17573
1984,60084
1985,62130
1986,60861
1987,77478
1988,26554
1989,79032
1990,72152
1991,60598
1992,63380
1993,64232
1994,71126
1995,70314
1996,68600
1997,94209
1998,91206
1999,76262
2000,89991
2001,98466
2002,81381
2003,60849
2004,61880
2005,40443
2006,65917
2007,40174
2008,55911
2009,43383
2010,70484
2011,58706
2012,59384
2013,78699
2014,57485
2015,70772
2016,70142
2017,70142
2018,71580
2019,70772
2020,71656
2021,69830
2022,82830
2023,69830
2024,68443
2025,53454
2026,52864
2027,55872
2028,65841
2029,65866
2030,56285
2031,57136
2032,37369
2033,51846
2034,69449
2035,51846
2036,50153
2037,62772
2038,36644
2039,66800
2040,55641
2041,93296
2042,70469
2043,14160
2044,13490
2045,64052
2046,58810
2047,66518
2048,40379
2049,45527
2050,12935
2051,53658
2052,53946
2053,65440
2054,91341
2055,91341
2056,104212
2057,103901
2058,103935
2059,103935
2060,102406
2061,96627
2062,135112
2063,126406
2064,115911
2065,105750
2066,84482
2067,84568
2068,118963
2069,89870
2070,122338
2071,91338
2072,117655
2073,124573
2074,123562
2075,123416
2076,89893
2077,89709
2078,110429
2079,95061
2080,130193
2081,94834
2082,143782
2083,103041
2084,102212
2085,126966
2086,145006
2087,141288
2088,102952
2089,125528
2090,136962
2091,108074
2092,148173
2093,116147
2094,137101
2095,146104
2096,148173
2097,113514
2098,147627
2099,149763
2100,150289
2101,113126
2102,177906
2103,158734
2104,43729
2105,123721
2106,59512
2107,86836
2108,87112
2109,87713
2110,134111
2111,97533
2112,97533
2113,95391
2114,159860
2115,105734
2116,85144
2117,120469
2118,28597
2119,118478
2120,98739
2121,100705
2122,141055
2123,91579
2124,135419
2125,98211
2126,100240
2127,99667
2128,99400
2129,87070
2130,141162
2131,99043
2132,84803
2133,20497
2134,65148
2135,66038
2136,186858
2137,79754
2138,73251
2139,79037
2140,106962
2141,101632
2142,248495
2143,220668
2144,167419
2145,220668
2146,162585
2147,157251
2148,255086
2149,262720
2150,136926
2151,97398
2152,82001
2153,81755
2154,93673
2155,112341
2156,111557
2157,92045
2158,81705
2159,92284
2160,109426
2161,111179
2162,82378
2163,121538
2164,131324
2165,122933
2166,129288
2167,102797
2168,116679
2169,93540
2170,127194
2171,121166
2172,37535
2173,40401
2174,91947
2175,65637
2176,73117
2177,67988
2178,84861
2179,78730
2180,71568
2181,82660
2182,76010
2183,85095
2184,105480
2185,105480
2186,84271
2187,85095
2188,81875
2189,85374
2190,70240
2191,56042
2192,85655
2193,76677
2194,76907
2195,76907
2196,76956
2197,76677
2198,76907
2199,76959
2200,76907
2201,47495
2202,43826
2203,43966
2204,43882
2205,42949
2206,44074
2207,52460
2208,44319
2209,53111
2210,44190
2211,45319
2212,45750
2213,45750
2214,80606
2215,41291
2216,45121
2217,85993
2218,71000
2219,71541
2220,71982
2221,85665
2222,70816
2223,72078
2224,71790
2225,97846
2226,96836
2227,98094
2228,96836
2229,98201
2230,81057
2231,98094
2232,82029
2233,82269
2234,61561
2235,74786
2236,95274
2237,75352
2238,75237
2239,75317
2240,62383
2241,62480
2242,64040
2243,65481
2244,81283
2245,78905
2246,71161
2247,103716
2248,105072
2249,101523
2250,103128
2251,101682
2252,123887
2253,104418
2254,84503
2255,104007
2256,83985
2257,82009
2258,83742
2259,83619
2260,86463
2261,109182
2262,82605
2263,67979
2264,66152
2265,64559
2266,64559
2267,67561
2268,66981
2269,67519
2270,62574
2271,39655
2272,40439
2273,51359
2274,63667
2275,64206
2276,48277
2277,69010
2278,88622
2279,105372
2280,71020
2281,86501
2282,72122
2283,64319
2284,86861
2285,72131
2286,86376
2287,70571
2288,99093
2289,87200
2290,105532
2291,85735
2292,65625
2293,70471
2294,70753
2295,78287
2296,79258
2297,78640
2298,96673
2299,96673
2300,78287
2301,78287
2302,77886
2303,82284
2304,77229
2305,79118
2306,96673
2307,97506
2308,66782
2309,129998
2310,147552
2311,88927
2312,121052
2313,126547
2314,101602
2315,131006
2316,101639
2317,89824
2318,85084
2319,85084
2320,126259
2321,87755
2322,91083
2323,66303
2324,150573
2325,150951
2326,140926
2327,118127
2328,109984
2329,128804
2330,15109
2331,15580
2332,15018
2333,15316
2334,39507
2335,16427
2336,16224
2337,21707
2338,16771
2339,82191
2340,21996
2341,19659
2342,83016
2343,82868
2344,84030
2345,86767
2346,97708
2347,70835
2348,82868
2349,38172
2350,61612
2351,47938
2352,63241
2353,57297
2354,65938
2355,65151
2356,69620
2357,67317
2358,64516
2359,66625
2360,59141
2361,59886
2362,64059
2363,107459
2364,64697
2365,64071
2366,64312
2367,110105
2368,64059
2369,65072
2370,64860
2371,64096
2372,80540
2373,64460
2374,64767
2375,64860
2376,32712
2377,50810
2378,51032
2379,62171
2380,50486
2381,50185
2382,51145
2383,78051
2384,64581
2385,56770
2386,72477
2387,78539
2388,64142
2389,78051
2390,92375
2391,79449
2392,64706
2393,93110
2394,56770
2395,78776
2396,63516
2397,78051
2398,72477
2399,64142
2400,87879
2401,74382
2402,59633
2403,59851
2404,58837
2405,60266
2406,73196
2407,74481
2408,59403
2409,84761
2410,58481
2411,48711
2412,74008
2413,68683
2414,31824
2415,63916
2416,50014
2417,51804
2418,53676
2419,52160
2420,62876
2421,53559
2422,63834
2423,52632
2424,53284
2425,53214
2426,63834
2427,52367
2428,52594
2429,61276
2430,83725
2431,79872
2432,79872
2433,85214
2434,84878
2435,78316
2436,66240
2437,76805
2438,66369
2439,65036
2440,65323
2441,53319
2442,59625
2443,54973
2444,54817
2445,68108
2446,54973
2447,53733
2448,24097
2449,29150
2450,24384
2451,18686
2452,30405
2453,23032
2454,18844
2455,25473
2456,44617
2457,52940
2458,23828
2459,9596
2460,55822
2461,45650
2462,49177
2463,70310
2464,65737
2465,57357
2466,20999
2467,56341
2468,56341
2469,66759
2470,11609
2471,11754
2472,12338
2473,12717
2474,13375
2475,82546
2476,95935
2477,65876
2478,82474
2479,82868
2480,82435
2481,22594
2482,23303
2483,23201
2484,22893
2485,23251
2486,15531
2487,22893
2488,23384
2489,84701
2490,16629
2491,13091
2492,12386
2493,65662
2494,41754
2495,65645
2496,85110
2497,60434
2498,61095
